image,blip_caption,reference_captions
2396746868_0727e06983.jpg,a boy on a slide,"['A boy going down a small blue slide .', 'a kid sliding down a slide while another kid looks on', 'A little boy is going down a blue slide .', 'A little boy is watching another little boy ride on a blue slide .', 'Two little blonde boys play on a slide in the backyard .']"
341430859_4519802e8f.jpg,a dog that is standing in the snow,"['A brown and white dog stands in the deep snow .', 'A dog in the snow .', 'A dog stands in deep snow surrounded by trees .', 'A dog stands up to his elbows in snow .', 'Dog sits in snow .']"
2534502836_7a75305655.jpg,a dog running through a field of tall grass,"['A medium sized brown and white streaked dog is running through tall grass .', 'A single tan-and-white dog dashes through tall green grass .', 'A small brown and white dog running through tall grass .', 'A small dog runs through a grassy field .', 'A white and tan dog runs through the tall green grass .']"
3459419203_cd7c68ce4d.jpg,a woman swimming in a pool at night,"['A girl is being splashed by water in a pool .', 'A girl wearing blue water googles is being splashed in the face with water by a fellow swimmer .', 'A woman swimmer in a pool gets splashed by her teammate swimming past .', 'The woman is in a pool and being splashed', 'Two people are in a swimming pool with water splashing around .']"
537359971_6e28f5e66e.jpg,two women walking down the street,"['two woman wearing skirts walking down the street together', 'Two women in skirts walking across a street .', 'Two women ion skirts walk across a parking lot .', 'Two women , wearing skirts and carrying purses , cross street in urban area .', 'Two women with purses walk in an urban location .']"
3430782104_34da558eba.jpg,a man riding a horse,"['A cowboy on a horse ropes a steer .', 'A cowboy trying to rope a bull while on a horse', 'A cowboy wrangles a calf in a rodeo .', 'a girl on a horse trying to catch a bull with a rope', 'A person attempts to rope a black cow while riding a horse .']"
3371533654_73a12a35a4.jpg,a man riding a skateboard down a metal tube,"['A man is skating through a tunnel .', 'A person skates along the inside of a long tube .', 'A rollerblader rides high in a full pipe while others watch', 'A rollerblader skating inside a tube .', 'A skateboarder whizzes through a tunnel .']"
1540631615_8b42c1b160.jpg,yellow lines on the field,"['A boy in a red jacket does a gymnastic maneuver on a grassy athletic field .', 'A child in a red jacket doing a handstand on green grass .', 'A little boy in red doing a handstand .', 'Boy wearing a red jacket performs a handstand on the grass .', 'Young boy in red jacket doing a handstand on a sports field .']"
3309042087_ee96d94b8a.jpg,snow on the ground,"['a lone snowboarder jumping on the side of a snowy mountain .', 'A scene of snow and water .', 'A snowboarder jumping in the air off of snow .', 'A snowboarder is making a jump over a hillside with deep powder located in the woods .', 'A snowboarder jumps high over the snowy hill .']"
3350785999_462f333c44.jpg,a group of people,"['A crowd of women and children looking at the photographer .', 'A group of African women and children wearing brightly colored clothes .', 'A group of colorfully clothed people are sitting in a market .', 'Numerous African Americans wearing various types of clothing .', 'People from an African village are sitting on the ground .']"
2275253272_00f941366e.jpg,a little girl walking down a path,"['a girl in a green dress and pink jacket is running down a dusty path in a grassy park .', 'A girl wearing a pink sweater and green dress in walking down a path .', 'A little girl holding flowers is walking away down a path on a sunny day .', 'A little girl is walking along a path .', 'A little girl walking down the sidewalk .']"
3182570190_48214e54c7.jpg,a black and white photo,"[""A giant billboard of a man 's abs"", 'Pedestrians walk in front of an advertisement depicting a shirtless man in jeans .', 'people pass by a huge black and white poster of a male model unzipping his jeans .', 'People walk by a large advertisement of partially naked man .', 'Some people walk past a large billboard .']"
350443876_c9769f5734.jpg,the curtains are blue,"['A little baby climbing up the ladder after someone .', 'A little girl is climbing a ladder .', 'A person on a ladder with a baby underneath .', 'A person stands at the top of a ladder as a young girl begins to climb .', 'A person stands on a ladder and a small child climbs at the bottom of the ladder .']"
2472896179_245e7d142f.jpg,a body of water,"['A man about to paraglide from the water .', 'A man glides on top of the water .', 'A man is pulled through the water on a large ski .', 'a man on the sea .', 'man holding harness waterskiing']"
2257099774_37d0d3aa9a.jpg,a woman wearing a red hat,"['An elderly Asian woman wearing a blue winter coat and red hat in front of a food counter .', 'A woman in a red cap in a store .', 'A woman wearing a red hat and black coat .', 'A woman with a red hat and face stands in front of jars .', 'The hapy asian woman is at the market .']"
3041348852_872c027c16.jpg,a group of dogs running in the grass,"['Five small white dogs are wearing muzzles and running .', 'Five white and white and brown , muzzled dogs run across a green , grassy lawn .', 'Five white dogs with muzzles are running towards the camera .', 'Little muzzled white dogs are running in the grass .', 'Several dogs in muzzles are racing on the grass .']"
2853407781_c9fea8eef4.jpg,a man sitting on the sidewalk,"['A man in a brown jacket and beige cap is drinking from a Styrofoam cup .', 'A man in a jacket and cap is crouching down and drinking from a cup .', 'A man in a leather jacket drinking coffee .', 'A man is crouched down next to a building sipping a drink .', 'A man wearing a coat is leaned against wall drinking from a white cup .']"
2543017787_9720b4fa1c.jpg,a little girl on a swing,"['A child in a red shirt and hat enjoys a tire-shaped swing at the playground .', 'A child rides a swing .', 'A girl in a red shirt is on a tire swing .', 'A small child riding on a ring swing .', 'A young child wearing a red shirt swinging on a faux tire swing .']"
515702827_be3c6ce857.jpg,two people in the water,"['A child in a pink hat on a pink surfboard .', 'A girl in pink and man in black paddle through water .', 'A man in a black shirt swims next to a girl on a pink surfboard .', 'A man swimming beside a girl on a pink body board .', 'Two children splash through the water , one is wearing a pink swim cap .']"
3356748019_2251399314.jpg,the sky is clear and blue,"['Cyclists are leaping into the air whilst being watched by spectators .', 'Three dirt bike racers head over a jump .', 'Three men form an arch during a BMX bike race sponsored by Coca-Cola .', 'Three men on mountain bikes go over a sand hill .', 'Three riders wearing black jerseys jump their BMX bikes into the air .']"
3437315443_ba2263f92e.jpg,a little girl wearing a red jacket,"['A child in a red jacket holding up two fingers .', 'A little girl holds onto a pole on a city street .', 'A little girl in a red shirt holds on to a pole near a street .', 'A little girl is standing by a metal pole holding her fingers up in a v sign .', 'A young girl holds up a peace sign .']"
3220200084_3ea129336e.jpg,a woman carrying a baby,"['A black woman with a colourful bandanna on her head carrying a sleeping boy in a backpack .', 'A boy takes a nap as his mother carries him on her back .', 'A lady with her son attached to her back', 'A smiling woman carrying her baby in a sling .', 'A woman carries a sleeping baby on her back .']"
241347580_a1e20321d3.jpg,the girl is wearing a red shirt,"['Two blonde girls wear sports jerseys while watching a game together .', 'Two girls sit near a wall and watch a sporting event .', 'Two girls wearing red jerseys , each with long light brown hair , sit in the stands .', 'Two young , blonde girls in red and white ball uniforms with people behind them .', 'Two young girls appear to be at attention during the national anthem .']"
3432495898_a5859f06b6.jpg,a dog rolling around on the ground,"['A brown dog laying on its back .', 'A brown dog lies upside down on the cement road .', 'A dog lies on his back on a road .', 'A large dog is laying on its back , outside on a blacktop , with its legs in the air .', 'A tan dog is rolling on his back on some asphalt with a bike and a scooter in the background .']"
2693539377_5442430f81.jpg,a group of people riding on a roller coaster,"['a boy and girl riding a roller coaster', 'Children on a ride at an amusement park .', 'The children are smiling whist sitting on a fairground ride .', 'Two children swing around on a carnival ride .', 'two little kids having fun at a roller coaster']"
3696698390_989f1488e7.jpg,a man doing a trick on a motorcycle,"['a bicyclist wearing a helment riding down a steep ramp', 'A bike rider catches air near a ramp .', 'A BMX rider in midair .', 'A man wearing a green shirt is jumping his bicycle off a ramp .', 'Cyclist in green shirt doing trick on wooden ramp']"
3565021218_d2bc1aa644.jpg,a little girl in a yellow dress laying on a bed,"['A little girl in a yellow dress lays on a wooden floor surrounded by flowers .', 'a young girl in a bright yellow dress surrounded by yellow flowers', 'a young girl wearing yellow lays on the ground .', 'The girl with a yellow dress and sandals on is surrounded by yellow flowers .', 'The small girl in the yellow dress laid on the bedspread surrounded by flowers .']"
3581451227_618854cea4.jpg,white clouds in the sky,"['A flower girl and ring bearer watch the flower petals hit the grass .', 'A flower girl drops petals while the ring bearer watches .', 'A little girl and boy after a wedding in a field', 'A young girl in a yellow dress and a small boy in a white suit .', 'There is a young girl in a yellow dress and a young boy in a white suit standing in a field of grass .']"
143552829_72b6ba49d4.jpg,a man riding a dirt bike through a stream,"['A boy in a black helmet and red long sleeve shirt rides his motorbike over a rocky stream .', 'A man on a motorcycle steers through swampy terrain', 'A man rides his bike over rocks and a creek .', 'A motocross bike is being ridden between markers in a running stream .', 'A person is dirt biking over rocks and water .']"
2435685480_a79d42e564.jpg,a woman sitting on a rock,"['A girl wearing a brown cap , red sneakers , and a dark green coat sits on a rock bench .', 'A hiker in a jacket and knit cap sits with a backpack on atop a stone with a cloudy sky in the background .', 'A woman in a knit cap and green coat its on a stone block , looking out .', 'A woman with her backpack sits on a large rock and looks down over the mountains .', 'The lady is sitting on a rock .']"
3656906086_7034f69ab6.jpg,two dogs are playing with each other dogs,"['A black dog is biting the neck of a brown dog', ""A dog bites another dog 's neck ."", 'The black and brown dog with a red collar bites the brown dog .', 'Two dogs play with each other outside .', 'Two dogs wrestle outdoors .']"
1299459562_ed0e064aee.jpg,three boys playing in the water,"['Three boys in baggy bathing suits play in splashing water in front a of grey , block wall .', 'three boys in size order getting wet next to a wall', 'Three boys play in a spray of water .', 'Three boys playing in some water .', 'Three shirtless boys are playing in the water .']"
3630332976_fdba22c50b.jpg,the boy is wearing a red shirt,"['Boy pulls other boy over back .', 'One boy hoists another boy up on his back .', 'One child lifts another on his back , inside a room .', 'The boy in the gray shirt is holding the boy in the red shirt on his back .', 'Two boys are back to back as one holds up the other .']"
2665586311_9a5f4e3fbe.jpg,two girls walking in the street,"['A girl in pink pants running , an ornate Spanish ruin in the background .', 'The girl dressed in purple walks through the alley , followed by a girl in pink .', 'Two children within the ruins of a building .', 'Two girls , one running away from the wall .', 'Two little girls play around an old abandoned building .']"
2893476169_f38dd32051.jpg,a man doing a trick on a skateboard,"['A guy jumps high on his skateboard .', 'A male skateboarder is captured midair .', 'A man in midair on a skateboard .', 'A skateboarder flies thorugh the air while others watch .', 'A youth riding a skateboard is airborne amongst the basketball courts .']"
253762507_9c3356c2f6.jpg,a silver subway train,"['A security man guards the door as another one brings his items off .', 'A subway worker stands next to a car with several garbage bags inside .', 'Someone is pulling a big black bag onto a subway .', 'There is a bum getting out of a subway car .', 'Trash spills out of a subway door .']"
1490213660_9ea45550cf.jpg,a dog in the water,"['A dog is trotting through a shallow stream', 'A light colored dog is walking through a stream .', 'A male weimaraner with a clipped tail is walking through a river .', 'a tan dog walking along in a stream', 'The brown dog is walking through a river surrounded by bushes .']"
2403544744_cba152f5c1.jpg,a dog chasing a cow,"['A dog runs by two cows .', 'A light brown dog is playing in front of two spotted cows .', 'Dog herding cows', 'Dog running in front of two white and brown cows .', 'Two cows stand nearby while a dog races past both of them .']"
492341908_1ef53be265.jpg,two kids on a four wheeler atv,"['Two girls are riding a 4 wheeler .', 'Two girls are sitting on an ATV on the sand in front of a bridge .', 'Two girls riding an ATV .', 'Two kids are posing on a black ATV that is on top of sand .', 'Two young girls drive an ATV .']"
554526471_a31f8b74ef.jpg,a group of people on the beach,"['A group exercise session at the beach .', 'A group of people are doing aerobics in the ocean .', 'A woman is leading an exercise group on the seashore .', 'many people exercising in the ocean', 'The ladies do water aerobics on the beach .']"
3240090389_97a8c5d386.jpg,a skateboarder in a skate park,"['A person in a red shirt on a skateboard .', 'A person riding a skateboard .', 'A teenage male grinds on his skateboard .', 'The skateboarder does a trick on a ramp .', 'While doing tricks , the skateboarder is at the top of the half pipe .']"
410042380_517ccee020.jpg,a woman sitting on a couch,"['A blond woman is sitting in a brown leather chair while another woman is walking next to a store in the background', 'A person sits in a brown chair and is holding bags in their hand .', 'a woman sitting on a large brown couch in the middle of a mall', 'A woman is sitting in a brown chair in the center of a mall .', 'Three people , one sitting , two standing , are in a mall .']"
3485599424_94de8ede51.jpg,a brown and white dog,"['A brown and white dog plays in the yard by a house .', 'A brown and white dog standing in a yard .', 'A dog chained in fronr of a house .', 'A dog stands on the grass while tied up .', ""A leashed dog is in the backyard of someone 's home .""]"
2662890367_382eaf83bd.jpg,a man laying on the ground in a park,"['A man is laying down on grass near trees and a hose .', 'A man is lying the grass with long hair and beard .', 'A person lays in the grass .', 'A person lies in a grassy area near a building .', 'one man lying of the ground in the grass surrounded by trees .']"
2410040397_1a161a1146.jpg,a dog running on a trail in the woods,"['A black and brown dog is running through the woods .', 'A black and brown dog runs through the woods .', 'A dog running through the woods .', 'A dog runs through the woods .', 'Brown dog with mouth open running toward camera in a wooded area .']"
3384528359_e920154177.jpg,a bird in the water,"['A crane , wings outstreached , above the ocean .', 'A large bird landing on water .', 'A large gray and white bird begins to take flight .', 'Bird spreads wings over water .', 'Large dark bird over the water .']"
3116731299_6139b25c18.jpg,the grass is green,"['A little dog carries a small stick in his mouth .', 'A little dog is carrying a small twig in its mouth .', 'A small dog fetching a small stick .', 'A small dog is carrying a stick in his mouth .', 'A small dog is walking on green grass carrying a stick in its mouth .']"
2884092603_786b53a74b.jpg,the girl is wearing a white shirt,"['A girl in a white shirt poses and smiles as someone holds up a peace sign behind her .', 'A girl smiles while a boy makes a V sign behind her head .', 'Girl smiling for camera with boy giving her bunny ears', 'Smiling girl with white shirt with boy standing behind making rabbit ears behind her head .', 'The young girl is given rabbit ears by the young boy behind her .']"
429205889_ff5a006311.jpg,this is a christmas tree,"['A woman admiring colorful christmas ornaments .', 'A woman browses through some ornaments .', 'A woman in a black dress looking', 'A woman looking at a colorful display', 'Woman standing next to wire tree with ornamental balls hanging from it']"
494921598_af73bda568.jpg,a hockey player in action on the ice,"['A child is playing ice hockey', 'a young hockey player playing in the ice rink', 'A youth playing hockey .', 'The hockey player is skating on the ice smacking the puck .', 'Two people are playing ice hockey .']"
3361882891_6e610ffdbb.jpg,a person doing a trick on a bike,"['A bicycle rider takes a daring jump as his friends watch .', 'a biker jumps over a pile of dirt .', 'A man in blue jeans is jumping a bike over hills of dirt .', 'A man jumps off a ramp on his bike .', 'A man rides a bicycle over a dirt ramp .']"
3033257301_e2c8a39b04.jpg,a group of women walking down the street,"['The three ladies stand at attention in their native garb .', 'Three people , dressed in green , orange , and yellow , holding hands with one another .', 'Three thin women in colorful dresses .', 'Three women in brightly colored dresses .', 'three women wearing bright colored dresses hold hands .']"
2192475933_d779bf42eb.jpg,a clear blue sky,"['A boy in a wetsuit on a crowded beach', 'A boy is wearing a wetsuit on a crowded beach .', 'A boy wearing a black wetsuit stands on a crowded beach .', 'a boy wears a wetsuit at the beach .', 'child wearing a hat at the beach']"
2528489543_546c1ca81f.jpg,the water slide is blue,"['A boy splashes into a pool , ejected from a water slide .', 'A boy stands in the pool at the bottom of a blue water slide .', 'A child makes a splash in the pool as he emerges from the water chute .', 'A girl splashes in the water near a big blue water slide .', 'One blue and one green water slide .']"
247619370_a01fb21dd3.jpg,woman sitting on a red bench,"['A woman in a black shirt sitting on a red bench .', 'A woman is sitting and staring on a red bench near a building .', 'A woman wearing sunglasses sits on a red bench in front of a yellow building .', 'The woman in the brown shirt is sitting on a bright red bench .', 'Woman in a black shirt sitting on a red bench .']"
3531811969_49af4c22f0.jpg,a man doing a trick on a bike,"['A bike rider performs a trick .', 'A bmx biker is currently in midair doing a front flip .', 'A man upside down while jumping a bicycle .', 'A person is flipping on a trick bike .', 'The young man is performing a summersault in the air with a bicycle .']"
3226796100_08c49cfa5c.jpg,a little girl playing with a toy in a field,"['A small child practices golf .', 'A small child with a toy golf club', ""a young child wearing a white coat playing a children 's gold game ."", 'A young girl wearing a pink coat plays with a yellow toy golf club .', 'The bundled up child is playing with toys outdoors .']"
3189964753_a95536ced9.jpg,a group of people standing in a parking,"['A crowd gathers behind an older man .', 'A man is posing for the camera in front of a group of people .', 'An old man in a brown shirt stands while a crowd looks on .', 'Man in brown shirt and beard is being watched by a group of people on the street .', 'Man in brown shirt on sunny street , a crowd in background']"
2522809984_2e8a7df4fb.jpg,a dog in the water,"['A black dog is swimming through the water .', 'A black dog swimming .', 'A black dog swimming in water .', 'A black lab swims , with only its head above the water .', 'The drenched dog is swimming .']"
3533484468_0787830d49.jpg,a woman talking on a cell,"['A man is standing next to a woman and he is holding an electronic device to his ear .', 'A man on a cellphone standing with a woman .', 'A young couple in a busy city', 'Couple talking and looking in same direction , man is using a cellphone and wearing a gray sweatshirt woman is wearing a black coat .', 'Guy and girl in jackets while guy listens to mobile device']"
3263497678_8bb688ca01.jpg,two people on skateboards,"['The 2 runners are ready for the track .', 'Two people are in running race starting position with a long lane field ahead of them .', 'Two runners are at the starting blocks , readying for a race .', 'Two runners are at the starting line getting ready to race .', 'Two runners get ready to race on a track .']"
2956413620_d59de03a06.jpg,a car driving down the street,"['A black car on the street behind wire mesh .', 'A drag racer speeds down a city street in a black race car .', 'A man wearing a helmet driving a black race car down the street', 'A person wearing a white helmet races in a black race car .', 'Someone drives a fast car past old buildings .']"
460935487_75b2da7854.jpg,a black and white dog,"['A black and white dog is running up a path towards some potted plants .', 'A dog follows another dog around the corner but looks back .', 'A dog is turns back toward the camera near some potted plants .', 'A dog turning to look at the camera .', 'A white and black dog in a hallway filled with potted plants .']"
3262647146_a53770a21d.jpg,two boys playing in the dirt,"['A little boy jumps in the air while his younger brother looks on .', 'boy jumps through mud puddle .', 'The two young boys play in a puddle on a comfortable day .', 'Two children are playing in a mud puddle .', 'two little boys play with a puddle .']"
2890731828_8a7032503a.jpg,a fire in a building,"['Firemen are battling a fire .', 'Firemen stand outside a burning building with lots of smoke .', 'The firefighters are just under the flames and smoke .', 'There is a group of firemen watching a huge fire in some buildings in the distance .', 'Three firefighters duck from fire and smoke coming from a building .']"
2800934095_b84a5009dd.jpg,the dog is brown and black,"['A dachshund returning a tennis ball .', 'A dog is running through a low-cut field with a ball .', 'A little brown dog has a ball in its mouth .', 'A weiner dog catches a blue and yellow tennis ball .', 'The small brown dog is running through the grass with a yellow ball in its mouth .']"
241347460_81d5d62bf6.jpg,a man running with a football on a field,"['A football player kicks the ball .', 'An Oklahoma football player attempts to kick the ball .', 'A player for the Oklahoma Sooners football team punts the ball during a game .', 'Oklahoma University kicker , kicking the football', 'The football player in red kicks off the ball .']"
2176874361_2b4149010b.jpg,a brown and white cow,"['A black dog runs in front of a large brown and white bull .', 'A dog and a cow play together inside the fence .', 'a small black dog growling at a large brown and white cow .', 'Running dog and cow in fenced area .', 'The dog is running around the cow .']"
3137061312_eb5fdcf3fd.jpg,the train is on the tracks,"['A subway train with lights on is at the station .', 'A train approaches in a dimly lit subway .', 'A train is underground .', 'The train is coming down the track .', 'train in station']"
3106791484_13e18c33d8.jpg,a boy jumping on a bed,"['A blond child is jumping facefirst onto a bed .', 'a little boy jumps onto a bed .', 'Boy in black shirt jumps onto bed from dresser .', 'Boy is bouncing over the bed wearing a black t-shirt .', 'Little blonde boy is falling onto a bed .']"
1814391289_83a1eb71d3.jpg,the door is white,"['A boy dressed as Spiderman ringing a door bell', 'A child dressed as Spiderman ringing a doorbell .', 'A child that is dressed as Spiderman is ringing the doorbell .', 'At Halloween , this little spiderman waits to get some candy .', 'A young child in a costume rings the door bell of a gray house .']"
3546720729_38fff1bbd9.jpg,the man is playing the cello,"['A man with a double bass and a man with a mandolin play music .', 'A seated man playing a small guitar next to a standing man plucking a bass .', 'one man sitting playing a small guitar while another man is standing playing a large chello .', 'The two gentleman are playing stringed instruments .', 'two men play instruments .']"
1396703063_e8c3687afe.jpg,the man is wearing a straw hat,"['A man in a blue shirt , cowboy hat and a cross neckless walking in front of a carnival or amusement park ride .', 'A man in a hat , white shirt and gold chain with a cross .', 'A man wearing a cowboy hat and a gold cross around his neck', 'A man wearing a white shirt , gold cross , and a cowboy hat is standing in front of a roller coaster .', 'A man with a hat is walking']"
374103966_2987706be1.jpg,a man in a white shirt,"['A large man at a party , with a drink in his right hand .', 'A large man in white dances in the middle of a crowd holding a beverage in his hand .', 'A robust man with his mouth open in a white shirt and glasses holding a drink near other people .', 'Bearded overweight man carrying drink and yawning .', 'Overweight man with beard in white shirt holding a drink at a bar , dancing .']"
2066048248_f53f5ef5e2.jpg,snow on the ground,"['A group of horses and people in front of a snowy mountain .', 'The riders and horses are taking a break and resting on the mountain trail .', 'Three men are standing around pack horses in front of a red tent up in the mountains .', 'three riders stand around their horses in the mountains .', 'Two men and some horses on a snowy mountain .']"
2221818690_9003756d33.jpg,a man with white paint on his face,"['A clown blowing a whistle .', 'A man with his face painted white is blowing a whistle .', 'A person in white makeup and clothes blowing a whistle .', 'A teenager blows a whistle and wears white face paint , ear muffs , and a yellow hat while another teen watches .', 'Man with a painted white face blowing a whistle .']"
333973142_abcd151002.jpg,a dog running in the woods,"['A black dog carries a tree branch through the woods .', 'A black dog holding a small branch .', 'A brown and black dog carries a precariously long stick in his mouth in the wooded area .', 'A dog carries a large stick .', 'A rottweiler carries a very long stick in his mouth through the woods .']"
2248487956_2603f55ab9.jpg,a woman talking on a cell phone,"['An elderly woman in burgundy scratches her face as she observes a young man in a blue jacket and white baseball cap .', 'An elderly woman is looking at a teenage boy', 'A woman scratching her face .', 'There are two people , a lady with a big ring on her finger , and a boy wearing a blue jacket .', 'The woman in red clothing is wearing a ring and looking at a boy in blue clothing .']"
360723732_23199af4bf.jpg,a dog with a red ball in its mouth,"['A black and white dog has a red toy in his mouth and is jumping .', 'A dog is standing on its hind legs with its paws outstretched whilst carrying a red object in its mouth .', 'A dog with a red object in its mouth is hurrying down a smooth path near grass and another dog .', 'A dog with a red toy in its mouth .', 'dog with something red in mouth']"
3427118504_93126c83e0.jpg,man wearing a brown shirt,"['A grown man and a topless girl are dancing .', 'A shirtless child dances with an adult man .', 'A shirtless child plays with an adult indoors .', 'Man and child dancing .', 'The man in the brown shirt is holding the hand of the long haired child in front of a painting .']"
2939371251_f923569a72.jpg,white lines on the field,"['A football player runs with the ball , chased by members of the opposing team', 'A running back running with the football .', 'Many football players are running on the grassy field .', 'Men playing football .', 'Two teams compete in football .']"
3284899112_f11ab3cfe6.jpg,two people sitting on a bench in front of a building,"['A man and a woman are standing in front of a building', 'A man and woman stand in front of a white building and look at their hands .', 'A older couple next to the box office .', 'Eldery couple wearing hats looking at tickets on the street .', 'Old man and woman in jackets facing each other']"
1472882567_33dc14c8b6.jpg,shadows on the snow,"['a group of skiers going up a mountain', 'Four cross-country skiers climb uphill .', 'Four people climbing a hill in the snow .', 'Four skiers walking up a snow covered hill .', 'four skiers climbing snow drapped mountain .']"
2862931640_2501bd36c5.jpg,a group of people,"['A group of young people pose for a group photo while a man does a bike jump .', 'A person jumping off a ramp on a bike over a crowd .', 'A topless guy jumping a ramp on a bike .', 'People cheer as a bicyclist rides his bike off a ramp', 'People cheer as a man rides a bmx bike in midair']"
2856699493_65edef80a1.jpg,a man pushing a woman on a bike,"['A man talks to a woman wearing a backpack .', 'A woman with a bag talks to a man on a bicycle near a street .', 'Man riding a bicycle as woman walks beside him on a street .', 'The woman carrying a backpack is facing the camera , while the man is turned away .', 'The woman in the white shirt and black backpack is walking with the man in the blue shirt .']"
3283897411_af9d0b497d.jpg,a girl holding a fire,"['A child in pink holds an object that appears to be on fire .', 'A child playing with fire .', 'A little girl in a pink top is spinning a stick that has been set on fire .', 'Child holding an object that is on fire .', 'Little girl holds flaming object at sunset .']"
3050650135_23f9d9d2f8.jpg,two men playing soccer,"['A man in a blue jersey is kicking a ball while another man watches .', 'A man in a number ten jersey kicks a soccer ball while another team member watches .', 'A rugby player swings his leg back to punt the ball .', 'Number ten is kicking the ball as number seven watches .', 'Two men in blue jersey tops and white shorts play soccer ,']"
3174196837_800689a2f3.jpg,a group of dogs running in the snow,"['A group of dogs run through the snowy field .', 'Four dogs happily running in snow .', 'Four dogs running in the snow', 'Four dogs running over snow covered grass .', 'Several different colored dogs running in a snowy field']"
2490179961_e842fda5eb.jpg,two young girls with their mouths open,"['Two children with chocolate around their mouths are pulling funny faces .', 'Two girls are making funny faces and one has food smeared on her face around her mouth .', 'Two girls with chocolate mouths', 'Two little brown haired girls are grinning and squinting their eyes .', 'Two little girls , one with chocolate on her face , make faces .']"
84713990_d3f3cef78b.jpg,a group of people in a raft,"['A group of people on a blue raft going down a river .', 'A group of people paddle their blue inflatable raft down the rapids .', 'a group of people white water rafting in a blue raft .', 'Several people are rafting down a choppy river in rocky terrain .', 'Some people are riding a raft down a white water river .']"
3215695965_69fbeba3d5.jpg,this is a shopping cart,"['A boy inside a shopping cart .', 'A boy sits inside a shopping cart .', 'A child plays inside a shopping cart that has been stacked with others to create a cage .', 'a young boy tapped in a shopping cart .', 'A young boy trapped in a shopping cart .']"
3739833689_a0038545bd.jpg,a boy holding a baseball bat,"['A little boy puts a bat on his forehead and spins around .', 'A young boy holds his head to a baseball bat on the green grass .', 'A young boy is spinning around a baseball bat on the grass .', 'Little boy puts his forehead on the baseball bat and spins around to make himself dizzy .', 'The little boy is wearing red shorts and a white t-shirt and has his head resting on a baseball bat .']"
549887636_0ea5ae4739.jpg,a man standing in the middle of a street,"['A man dressing in a black shirt is waiting to cross the street with traffic .', 'A man standing in a crosswalk', 'A man waiting for traffic to stop at road crossing', 'An asian man tries to jaywalk on a street with heavy traffic .', 'Man waits for taxis to pass before crossing the wet road .']"
1100214449_d10861e633.jpg,water fountain in front of building,"['A boy in s striped shirt is jumping in front of a water fountain .', 'A boy is jumping off the side of a running stone water fountain in front of a building .', 'A happy boy is jumping in front OD city fountain .', 'A little boy is jumping in front of a fountain .', 'A little boy is playfully jumping off the side of a fountain .']"
3426966595_c8c4e1e872.jpg,a large wooden door,"['A gorup of boys are playing with a ball in front of a large wooden door .', 'Children kicking ball in front of very large medieval looking building', 'Children play in front of a large door .', 'Four boys playing a game with a soccer ball in front of a large set of ornate doors .', 'Kids playing ball outside in front of building .']"
3490528249_6aae9b867b.jpg,two cars racing on a track during a race,"['Two automobiles race each other and pour smoke from behind .', 'Two drag racing cars resembling train locomotives are leaving the starting line .', 'Two dragsters race down the track in front of a crowd of spectators watching the drag race from the stands .', 'Two race cars speed along a track with smoke coming from the backs of them .', 'Two rocket dragsters racing at a dragsters .']"
2081615901_13092cac56.jpg,two little girls standing on a chain link fence,"['The backs of two girls dressed identically in black shirts and black and red plants as they climb on a fence .', 'Two children in identical outfits hang on a chain link fence .', 'Two girls wearing red pants , black pants , and sandals are climbing a chain link fence .', 'Two identically dressed girls climbing a fence', 'Two young girls in matching outfits standing on a chain link fence .']"
3429142249_d09a32e291.jpg,a man climbing up a snowy mountain,"['A climber hanging from an ice pick in the side of a frozen waterfall .', 'A climber with a blue hat is scaling an icy rock cliff .', 'A man repels down a snowy mountain .', 'A rock climber scales an icy wall .', 'The climber is wearing a red jacket as he climbs the ice .']"
429270993_294ba8e64c.jpg,a group of people walking down the street,"['A man in camouflage pants and a backwards cap carrying a toolbox and a backpack .', 'A man wearing urban combat pants is walking down the street carrying a toolbox .', 'Man carrying a tool box on a sidewalk', 'Man is carrying a tool box down the sidewalk .', 'Young man in camo pants carries a large metal box walks along the sidewalk .']"
318667317_108c402140.jpg,a man wearing a black jacket,"['A bearded man holding a sign .', 'A homeless man carries a sign that says "" hungry "" .', 'a homeless person asking for help', 'A man in a black hoodie holding a small sign .', 'A man in a black hoodie is holding a paper sign .']"
3539767254_c598b8e6c7.jpg,the water is green,"['A gondola is steered through the canals with other boats around .', 'A man is steering a gondola with people in it down a river with buildings all around .', 'a man rowing a ganilla down a watery path', 'Man in a gondola in a canal .', 'The gondola is poling his boat in the canal .']"
2534194182_ac53035cf4.jpg,a group of dancers,"['a group of band members doing a routine', 'A group of girls , in white skirts and green tops , walk in a circle carrying rifles in front of a drum line .', 'A marching band performing .', 'A marching band performs in an auditorium', 'Some marching band members in green and white outfits .']"
3565654691_22b97d3994.jpg,a clear blue sky,"['A man admires a rock formation on the water .', 'a man climbing a huge rock wall overlooking the blue ocean', 'a man kicks a large rock near the ocean .', 'A man stands by a boulder near an ocean .', 'A scuba diver stands on top of rocks after emerging from the water .']"
3358558292_6ab14193ed.jpg,a group of people standing in a room,"['A group of 5 people making different expressions .', 'five teenagers cheering in a living room', 'The room full of youths reacts emotionally as they spectate .', 'Three boy teenagers and two female teenagers are making excited facial expressions .', 'Three guys and two girls are watching something and getting excited .']"
